path	bytes	mtime_epoch	sha256
specs/reference/hugo-configs/configs/products.aspose.org.toml	910	1769016462	70db789bb002cd9fd946921becd8fe7e439bbdd2c547f20a4dcbe60e41bc78e4
specs/reference/hugo-configs/configs/reference.aspose.org/home.toml	4735	1769016462	8ab773d13b7db20e245b7a178110e33b08d77e522a20cfe8e418e9a730ecd73d
specs/reference/hugo-configs/configs/reference.aspose.org/tex.toml	5110	1769016462	1a88c052207122b8bf4e2eedd878d02c5b2569a7dcf1da050a682ec354c4a0a3
specs/reference/hugo-configs/configs/reference.aspose.org/words.toml	5164	1769016462	34fb493b7ec23e93432e558c1db26f53e764a2ffc3adfb8fe69ee6150f6ca5bc
specs/reference/hugo-configs/configs/websites.aspose.org.toml	3790	1769016462	d7f323fd2d755bfd8c7c9fc01101a2ee3adcd0c250f56a2025ff6335855b336f
specs/reference/hugo-configs/configs/www.aspose.org.toml	3722	1769016462	a41cb6bae0728bb0aa3db90cae8ee9366b56c5b5b76768ebc07f84268aa9cd87
specs/rulesets/ruleset.v1.yaml	919	1769016462	6d658e9b8a8e0e00b01fdfdea73b5f88ff299422555be41d14b38d911186ed3f
specs/schemas/event.schema.json	655	1769016462	89582ec3076e4345a10525e768e7a60672edb0352e6a9f48cd90251d16719ff1
specs/schemas/evidence_map.schema.json	2656	1769016462	ef614c2a3686ff7054abcc1907ad518c7bf85c7e365e8889249ee6780df054b5
specs/schemas/frontmatter_contract.schema.json	1727	1769016462	47785f85e0199fb2dec19d424a57cf12394f3bb2d0b95c8382e127f1b0ec5a0a
specs/schemas/issue.schema.json	800	1769016462	8cb9d8a12ba625dbe476bbf1862f00d4149d0ddfdfa95e6014067ec52dd1872a
specs/schemas/page_plan.schema.json	2966	1769016462	8c4aed46af4817d8b5058e86aea92bcfeb5abd4d048bd530b7b43ce0239eaa7c
specs/schemas/patch_bundle.schema.json	2027	1769016462	55f6e77b3eb62ee06d5f90f90916016406f595ae95058dce7cc793280f6f50b0
specs/schemas/product_facts.schema.json	9512	1769016462	e4c2a63be2fe205f1c305a8d8739ab9be9375faa9427e52240463baced39d154
specs/schemas/repo_inventory.schema.json	5355	1769016462	030079b38ba74f2f4202b8fe67a8fa68bcb377760493fcd0f2264a8dae482048
specs/schemas/ruleset.schema.json	1959	1769016462	0753bd7b0967ea8e140b52a9b996326fb1ae5da9c548e405a5f3459f0075ba4a
specs/schemas/run_config.schema.json	10203	1769016462	627b991917231cf1dc1c4333677934040fe959997303f8a7dcd122b0a8011a61
specs/schemas/site_context.schema.json	3133	1769016462	9440d288e63f641eb9d1ebdd1f10b380ce17bf2ceb034400fcf04109a6b33355
specs/schemas/snippet_catalog.schema.json	2459	1769016462	86eef8d7431adecf7a6a32af3d747584a119a3c46aef8684a1e4475931080b9b
specs/schemas/validation_report.schema.json	765	1769016462	f10a19df6c9ea8b0327750a91c90ae0020d0e124f581a2139faf11bd93677e1d
specs/state-graph.md	4890	1769016461	6d7db0dadf9e614f887ec1529df6283cc9efe9b1a4afc704eca12015990ac412
specs/state-management.md	2956	1769016461	9fc00282e1f9fefd5ccb63c2c01dd3d502ca5c8393acf04ed14fdc33884fb5a2
specs/templates/README.md	1060	1769016462	a7719de05b4c033c93100c1a5cef8285910a4331ed4ba49f1f84a1be421c813f
specs/templates/blog.aspose.org/cells/README.md	2587	1769016462	8de7348fd2b3042cd0bcc474fefdab6825119a5eac51cda117dd32e49e44079a
specs/templates/blog.aspose.org/cells/__POST_SLUG__/index.variant-enhanced-keywords.md	762	1769016462	b03330cd9d20c7afe123a43fad167279876cea952388986ca12bff7f66aad8a2
specs/templates/blog.aspose.org/cells/__POST_SLUG__/index.variant-enhanced-seotitle.md	722	1769016462	bab9488e2bbb381786726f759621d32927c58c5793849e2f5f953fbd0882e8a5
specs/templates/blog.aspose.org/cells/__POST_SLUG__/index.variant-enhanced.md	730	1769016462	6f27cf4afb0250743f0c0cc593551d19406bd0d146897b493f83dec92b085adf
