Branch_B,Candidate_C,PlusCount_B_not_in_C
feat/pilot-e2e-golden-3d-20260129,fix/env-gates-20260128-1615,3
feat/pilot-e2e-golden-3d-20260129,feat/TC-600-failure-recovery,3
feat/pilot-e2e-golden-3d-20260129,feat/golden-2pilots-20260201,2
feat/pilot1-hardening-vfv-20260130,impl/tc300-wire-orchestrator-20260128,2
feat/pilot1-hardening-vfv-20260130,integrate/main-e2e-20260128-0837,2
feat/pilot1-hardening-vfv-20260130,fix/main-green-20260128-1505,2
feat/pilot1-hardening-vfv-20260130,fix/env-gates-20260128-1615,2
feat/pilot1-hardening-vfv-20260130,feat/TC-600-failure-recovery,2
feat/pilot1-hardening-vfv-20260130,feat/golden-2pilots-20260201,1
feat/tc902_hygiene_20260201,impl/tc300-wire-orchestrator-20260128,4
feat/tc902_hygiene_20260201,integrate/main-e2e-20260128-0837,4
feat/tc902_hygiene_20260201,fix/main-green-20260128-1505,4
feat/tc902_hygiene_20260201,fix/env-gates-20260128-1615,4
feat/tc902_hygiene_20260201,feat/TC-600-failure-recovery,4
feat/tc902_hygiene_20260201,feat/golden-2pilots-20260201,0
feat/tc902_w4_impl_20260201,impl/tc300-wire-orchestrator-20260128,4
feat/tc902_w4_impl_20260201,integrate/main-e2e-20260128-0837,4
feat/tc902_w4_impl_20260201,fix/main-green-20260128-1505,4
feat/tc902_w4_impl_20260201,fix/env-gates-20260128-1615,4
feat/tc902_w4_impl_20260201,feat/TC-600-failure-recovery,4
feat/tc902_w4_impl_20260201,feat/golden-2pilots-20260201,0
fix/env-gates-20260128-1615,impl/tc300-wire-orchestrator-20260128,38
fix/env-gates-20260128-1615,integrate/main-e2e-20260128-0837,5
fix/env-gates-20260128-1615,fix/main-green-20260128-1505,2
fix/env-gates-20260128-1615,fix/env-gates-20260128-1615,0
fix/env-gates-20260128-1615,feat/TC-600-failure-recovery,12
fix/env-gates-20260128-1615,feat/golden-2pilots-20260201,97
fix/main-green-20260128-1505,impl/tc300-wire-orchestrator-20260128,38
fix/main-green-20260128-1505,integrate/main-e2e-20260128-0837,3
fix/main-green-20260128-1505,fix/main-green-20260128-1505,0
fix/main-green-20260128-1505,fix/env-gates-20260128-1615,0
fix/main-green-20260128-1505,feat/TC-600-failure-recovery,10
fix/main-green-20260128-1505,feat/golden-2pilots-20260201,95
fix/pilot1-w4-ia-planner-20260130,impl/tc300-wire-orchestrator-20260128,3
fix/pilot1-w4-ia-planner-20260130,integrate/main-e2e-20260128-0837,3
fix/pilot1-w4-ia-planner-20260130,fix/main-green-20260128-1505,3
fix/pilot1-w4-ia-planner-20260130,fix/env-gates-20260128-1615,3
fix/pilot1-w4-ia-planner-20260130,feat/TC-600-failure-recovery,3
fix/pilot1-w4-ia-planner-20260130,feat/golden-2pilots-20260201,2
impl/tc300-wire-orchestrator-20260128,impl/tc300-wire-orchestrator-20260128,0
impl/tc300-wire-orchestrator-20260128,integrate/main-e2e-20260128-0837,63
impl/tc300-wire-orchestrator-20260128,fix/main-green-20260128-1505,60
impl/tc300-wire-orchestrator-20260128,fix/env-gates-20260128-1615,58
impl/tc300-wire-orchestrator-20260128,feat/TC-600-failure-recovery,68
impl/tc300-wire-orchestrator-20260128,feat/golden-2pilots-20260201,117
integrate/main-e2e-20260128-0837,impl/tc300-wire-orchestrator-20260128,38
integrate/main-e2e-20260128-0837,integrate/main-e2e-20260128-0837,0
integrate/main-e2e-20260128-0837,fix/main-green-20260128-1505,0
integrate/main-e2e-20260128-0837,fix/env-gates-20260128-1615,0
integrate/main-e2e-20260128-0837,feat/TC-600-failure-recovery,7
integrate/main-e2e-20260128-0837,feat/golden-2pilots-20260201,92
main,impl/tc300-wire-orchestrator-20260128,2
main,integrate/main-e2e-20260128-0837,2
main,fix/main-green-20260128-1505,2
main,fix/env-gates-20260128-1615,2
main,feat/TC-600-failure-recovery,2
main,feat/golden-2pilots-20260201,0
